
2025/04/04 (18:50:13) | ===> btop++ v.1.4.0
2025/04/04 (18:50:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (02:12:43) | ===> btop++ v.1.4.0
2025/04/05 (02:12:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (23:12:04) | ===> btop++ v.1.4.0
2025/04/05 (23:12:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (05:14:53) | ===> btop++ v.1.4.0
2025/04/06 (05:14:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (05:16:01) | ===> btop++ v.1.4.0
2025/04/06 (05:16:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (05:51:15) | ===> btop++ v.1.4.0
2025/04/06 (05:51:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (06:14:03) | ===> btop++ v.1.4.0
2025/04/06 (06:14:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (14:38:26) | ===> btop++ v.1.4.0
2025/04/06 (14:38:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (14:40:07) | ===> btop++ v.1.4.0
2025/04/06 (14:40:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (14:40:57) | ===> btop++ v.1.4.0
2025/04/06 (14:40:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (15:18:09) | ===> btop++ v.1.4.0
2025/04/06 (15:18:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (21:34:33) | ===> btop++ v.1.4.0
2025/04/06 (21:34:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (00:02:33) | ===> btop++ v.1.4.0
2025/04/07 (00:02:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (09:37:50) | ===> btop++ v.1.4.0
2025/04/07 (09:37:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (12:34:42) | ===> btop++ v.1.4.0
2025/04/07 (12:34:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (19:00:32) | ===> btop++ v.1.4.0
2025/04/07 (19:00:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:44:06) | ===> btop++ v.1.4.0
2025/04/07 (22:44:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:44:15) | ===> btop++ v.1.4.0
2025/04/07 (22:44:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:44:21) | ===> btop++ v.1.4.0
2025/04/07 (22:44:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (00:02:10) | ===> btop++ v.1.4.0
2025/04/08 (00:02:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (00:49:55) | ===> btop++ v.1.4.0
2025/04/08 (00:49:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (19:57:11) | ===> btop++ v.1.4.0
2025/04/08 (19:57:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:01:34) | ===> btop++ v.1.4.0
2025/04/08 (20:01:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:05:03) | ===> btop++ v.1.4.0
2025/04/08 (20:05:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:11:52) | ===> btop++ v.1.4.0
2025/04/08 (20:11:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:15:32) | ===> btop++ v.1.4.0
2025/04/08 (20:15:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:21:22) | ===> btop++ v.1.4.0
2025/04/08 (20:21:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:22:45) | ===> btop++ v.1.4.0
2025/04/08 (20:22:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (23:47:23) | ===> btop++ v.1.4.0
2025/04/08 (23:47:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (09:45:15) | ===> btop++ v.1.4.0
2025/04/09 (09:45:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (18:46:12) | ===> btop++ v.1.4.0
2025/04/09 (18:46:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (10:10:44) | ===> btop++ v.1.4.0
2025/04/10 (10:10:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (22:16:35) | ===> btop++ v.1.4.0
2025/04/10 (22:16:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (21:48:55) | ===> btop++ v.1.4.0
2025/04/11 (21:48:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (14:12:42) | ===> btop++ v.1.4.0
2025/04/13 (14:12:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (22:35:30) | ===> btop++ v.1.4.0
2025/04/13 (22:35:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (10:13:27) | ===> btop++ v.1.4.0
2025/04/14 (10:13:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (15:42:01) | ===> btop++ v.1.4.0
2025/04/14 (15:42:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (20:56:54) | ===> btop++ v.1.4.0
2025/04/14 (20:56:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (15:49:47) | ===> btop++ v.1.4.0
2025/04/15 (15:49:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (22:20:52) | ===> btop++ v.1.4.0
2025/04/16 (22:20:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (22:20:58) | ===> btop++ v.1.4.0
2025/04/16 (22:20:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (22:24:51) | ===> btop++ v.1.4.0
2025/04/16 (22:24:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (22:24:54) | ===> btop++ v.1.4.0
2025/04/16 (22:24:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (22:24:56) | ===> btop++ v.1.4.0
2025/04/16 (22:24:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (22:57:45) | ===> btop++ v.1.4.0
2025/04/16 (22:57:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (23:00:36) | ===> btop++ v.1.4.0
2025/04/16 (23:00:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (23:00:44) | ===> btop++ v.1.4.0
2025/04/16 (23:00:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (23:01:38) | ===> btop++ v.1.4.0
2025/04/16 (23:01:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (17:29:48) | ===> btop++ v.1.4.0
2025/04/18 (17:29:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (00:32:44) | ===> btop++ v.1.4.0
2025/04/19 (00:32:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (00:32:47) | ===> btop++ v.1.4.0
2025/04/19 (00:32:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (13:55:01) | ===> btop++ v.1.4.0
2025/04/27 (13:55:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (07:09:34) | ===> btop++ v.1.4.0
2025/04/28 (07:09:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (07:11:51) | ===> btop++ v.1.4.0
2025/04/28 (07:11:51) | WARNING: Intel GPU: Failed to initialize PMU
